(a) the divergence identity in exact rational arithmetic, on F = |x-y|^{2j}:
      (1/V_t) srfSum!(int_F int_F' F) == (1/V_t) int_D w(d) [(da db - dab lap) F](R+d)
    left: 36 face-pair moments from facePair panels by an exact multinomial
    integrator; right: the difference-box form with the exact weight moments.
    Both sides are Rational{BigInt}; `max |diff|` is exactly 0 when they agree.

shape D         j   max |diff|    G[1,1]                            G[1,2]
c32   (2,0,0)   1   0//1          -1//8192                          0//1
c32   (2,0,0)   2   0//1          -29//25165824                     0//1
c32   (2,0,0)   3   0//1          -2357//257698037760               0//1
c32   (3,1,0)   1   0//1          -1//8192                          0//1
c32   (3,1,0)   2   0//1          -71//25165824                     3//4194304
c32   (3,1,0)   3   0//1          -13187//257698037760              201//8589934592
c32   (2,2,2)   1   0//1          -1//8192                          0//1
c32   (2,2,2)   2   0//1          -125//25165824                    1//1048576
c32   (2,2,2)   3   0//1          -34517//257698037760              79//2147483648
sl    (2,0,0)   1   0//1          -1//131072                        0//1
sl    (2,0,0)   2   0//1          -3457//51539607552                0//1
sl    (2,0,0)   3   0//1          -67994761//135107988821114880     0//1
sl    (3,1,0)   1   0//1          -1//131072                        0//1
sl    (3,1,0)   2   0//1          -8833//51539607552                3//67108864
sl    (3,1,0)   3   0//1          -410142601//135107988821114880    50691//35184372088832
sl    (2,2,2)   1   0//1          -1//131072                        0//1
sl    (2,2,2)   2   0//1          -9625//51539607552                1//16777216
sl    (2,2,2)   3   0//1          -443518741//135107988821114880    13849//8796093022208
