(a) mu_n(s) = int_{-s}^{s} (s-|t|) t^n dt = 2 s^{n+2}/((n+1)(n+2)) for even n, 0 odd.
    wgtT of farfield.jl against the same integral done as two elementary halves,
    both in Rational{BigInt}: the column is `exact` when they are the same rational.

s         n   mu_n (halves)                     wgtT == halves
1//32     0   1//1024                           true
1//32     1   0//1                              true
1//32     2   1//6291456                        true
1//32     3   0//1                              true
1//32     4   1//16106127360                    true
1//32     5   0//1                              true
1//32     6   1//30786325577728                 true
1//32     7   0//1                              true
1//32     8   1//50665495807918080              true
1//32     9   0//1                              true
1//32     10  1//76092819304051900416           true
1//32     11  0//1                              true
1//32     12  1//107433837485284428611584       true
1//512    0   1//262144                         true
1//512    1   0//1                              true
1//512    2   1//412316860416                   true
1//512    3   0//1                              true
1//512    4   1//270215977642229760             true
1//4      0   1//16                             true
1//4      1   0//1                              true
1//4      2   1//1536                           true
1//4      3   0//1                              true
1//4      4   1//61440                          true
7//3      0   49//9                             true
7//3      1   0//1                              true
7//3      2   2401//486                         true
7//3      3   0//1                              true
7//3      4   117649//10935                     true

disagreements over 5 lengths x n = 0..24: 0
