(a) convergence ratios.  rho = sqrt(sum s_i^2)/|R| for the whole difference box;
    rho_oct = max over the 8 octants of (r_d/2)/|sigma R + s/2|.  Cubic rows are
    scale invariant; the slender rows are (1/32,1/32,1/512).

class       n    rho       rho_oct   rho/rho_oct
axis        2    0.866025  0.522233  1.658
axis        3    0.57735   0.333333  1.732
axis        4    0.433013  0.242536  1.785
axis        6    0.288675  0.156174  1.848
axis        8    0.216506  0.11496   1.883
axis        16   0.108253  0.055815  1.94
axis        32   0.054127  0.027486  1.969
axis        64   0.027063  0.013637  1.984
facediag    2    0.612372  0.39736   1.541
facediag    3    0.408248  0.242536  1.683
facediag    4    0.306186  0.174078  1.759
facediag    6    0.204124  0.111111  1.837
facediag    8    0.153093  0.081559  1.877
facediag    16   0.076547  0.039498  1.938
facediag    32   0.038273  0.019439  1.969
facediag    64   0.019137  0.009644  1.984
bodydiag    2    0.5       0.333333  1.5
bodydiag    3    0.333333  0.2       1.667
bodydiag    4    0.25      0.142857  1.75
bodydiag    6    0.166667  0.090909  1.833
bodydiag    8    0.125     0.066667  1.875
bodydiag    16   0.0625    0.032258  1.938
bodydiag    32   0.03125   0.015873  1.969
bodydiag    64   0.015625  0.007874  1.984
(n,1,0)     2    0.774597  0.522233  1.483
(n,1,0)     3    0.547723  0.333333  1.643
(n,1,0)     4    0.420084  0.242536  1.732
(n,1,0)     6    0.284747  0.156174  1.823
(n,1,0)     8    0.214834  0.11496   1.869
(n,1,0)     16   0.108042  0.055815  1.936
(n,1,0)     32   0.0541    0.027486  1.968
(n,1,0)     64   0.02706   0.013637  1.984
(n,2,1)     2    0.57735   0.39736   1.453
(n,2,1)     3    0.46291   0.29277   1.581
(n,2,1)     4    0.377964  0.225494  1.676
(n,2,1)     6    0.270501  0.15133   1.787
(n,2,1)     8    0.208514  0.112987  1.845
(n,2,1)     16   0.107211  0.055584  1.929
(n,2,1)     32   0.053995  0.027458  1.966
(n,2,1)     64   0.027047  0.013634  1.984

sl (n,0,0)  2    0.707797  0.447563  1.581
sl (n,0,0)  3    0.471865  0.2776    1.7
sl (n,0,0)  4    0.353898  0.200187  1.768
sl (n,0,0)  6    0.235932  0.12816   1.841
sl (n,0,0)  8    0.176949  0.094163  1.879
sl (n,0,0)  16   0.088475  0.04564   1.939
sl (n,0,0)  32   0.044237  0.022467  1.969
sl (n,0,0)  64   0.022119  0.011146  1.984
sl (n,n,0)  2    0.500488  0.333622  1.5
sl (n,n,0)  3    0.333659  0.200187  1.667
sl (n,n,0)  4    0.250244  0.142994  1.75
sl (n,n,0)  6    0.166829  0.090997  1.833
sl (n,n,0)  8    0.125122  0.066731  1.875
sl (n,n,0)  16   0.062561  0.03229   1.938
sl (n,n,0)  32   0.031281  0.015889  1.969
sl (n,n,0)  64   0.01564   0.007882  1.984
sl (n,n,n)  2    0.5       0.333333  1.5
sl (n,n,n)  3    0.333333  0.2       1.667
sl (n,n,n)  4    0.25      0.142857  1.75
sl (n,n,n)  6    0.166667  0.090909  1.833
sl (n,n,n)  8    0.125     0.066667  1.875
sl (n,n,n)  16   0.0625    0.032258  1.938
sl (n,n,n)  32   0.03125   0.015873  1.969
sl (n,n,n)  64   0.015625  0.007874  1.984
sl (0,0,n)  2    11.324752 0.992293  11.413
sl (0,0,n)  3    7.549834  0.977398  7.724
sl (0,0,n)  4    5.662376  0.956263  5.921
sl (0,0,n)  6    3.774917  0.900237  4.193
sl (0,0,n)  8    2.831188  0.834305  3.393
sl (0,0,n)  16   1.415594  0.590143  2.399
sl (0,0,n)  32   0.707797  0.338354  2.092
sl (0,0,n)  64   0.353898  0.175578  2.016

first n with rho < 1 / rho < 0.5, slender short axis (0,0,n): 23 / 46
same for rho_oct: 2 / 21
