(b) volTensor (independent BigFloat Gauss-Legendre rule on the difference box, graded
    to the near corner) against refTensor (36 x pairKer at 220 bits, srfSum! signs),
    for the four sign conventions of the volume form, and farTensor against both.
    ePP = (+diag,+off) = max_ab |G_vol - G_ref| / max|G_ref|; ePM, eMP, eMM the
    other three; entPP the worst per-entry ePP.  fMx/fEn = farTensor vs refTensor,
    fVol = farTensor vs volTensor (max norm).  rt = route taken by farTensor.

shape f         D          ePP       entPP     ePM       eMP       eMM       rt  fMx       fEn       fVol
c32   1.0,0.0   (2,0,0)    1.21e-64  2.79e-64  1.21e-64  2.00e+00  2.00e+00  2   4.40e-15  4.40e-15  4.40e-15
c32   1.0,0.0   (2,2,2)    2.00e-63  3.60e-63  2.00e+00  5.67e-01  2.00e+00  1   1.31e-15  1.31e-15  1.31e-15
c32   1.0,0.0   (2,2,0)    9.72e-62  1.74e-61  2.00e+00  1.12e+00  2.00e+00  1   9.41e-16  9.41e-16  9.41e-16
c32   1.0,0.0   (3,1,0)    1.09e-59  2.31e-59  9.43e-01  2.00e+00  2.00e+00  1   3.12e-16  6.09e-16  3.12e-16
c32   1.0,0.0   (5,1,0)    3.78e-64  1.02e-63  5.15e-01  2.00e+00  2.00e+00  1   4.95e-16  1.42e-15  4.95e-16
c32   1.0,0.0   (8,0,0)    1.09e-63  1.89e-63  1.09e-63  2.00e+00  2.00e+00  1   2.39e-16  4.15e-16  2.39e-16
c32   1.0,0.0   (64,0,0)   2.55e-63  1.52e-62  2.55e-63  2.00e+00  2.00e+00  1   1.01e-15  1.01e-15  1.01e-15
c32   1.0,0.0   (64,64,64) 1.24e-62  2.46e-62  1.00e+00  2.00e+00  2.00e+00  1   1.75e-15  1.75e-15  1.75e-15
c32   1.0,0.1   (2,0,0)    2.44e-58  2.77e-58  2.44e-58  2.00e+00  2.00e+00  2   9.98e-16  1.80e-15  9.98e-16
c32   1.0,0.1   (8,8,8)    6.16e-63  8.97e-63  1.37e+00  2.00e+00  2.00e+00  1   2.67e-16  3.88e-16  2.67e-16
c4    1.0,0.0   (2,0,0)    7.41e-59  1.05e-58  7.41e-59  2.00e+00  2.00e+00  2   4.72e-16  5.51e-16  4.72e-16
c4    1.0,0.0   (2,2,2)    4.19e-64  7.95e-64  1.05e+00  2.00e+00  2.00e+00  1   1.13e-15  1.56e-15  1.13e-15
c4    1.0,0.1   (2,2,2)    2.08e-64  3.74e-64  1.11e+00  2.00e+00  2.00e+00  1   6.67e-16  1.20e-15  6.67e-16
c4    1.0,0.1   (16,0,0)   3.71e-65  4.67e-64  3.71e-65  2.00e+00  2.00e+00  1   9.29e-16  1.79e-15  9.29e-16
c8    1.0,0.0   (2,0,0)    1.49e-58  1.49e-58  1.49e-58  2.00e+00  2.00e+00  2   1.25e-15  1.25e-15  1.25e-15
c8    1.0,0.1   (4,4,4)    6.81e-64  1.23e-63  1.11e+00  2.00e+00  2.00e+00  1   3.40e-16  3.40e-16  3.40e-16
sl    1.0,0.0   (0,0,2)    1.05e-49  1.07e-49  1.05e-49  2.00e+00  2.00e+00  3   3.83e-17  3.83e-17  3.83e-17
sl    1.0,0.0   (0,2,0)    1.85e-58  4.50e-58  1.85e-58  2.00e+00  2.00e+00  2   1.31e-15  2.37e-15  1.31e-15
sl    1.0,0.0   (2,0,0)    1.85e-58  4.49e-58  1.85e-58  2.00e+00  2.00e+00  2   1.17e-15  2.73e-15  1.17e-15
sl    1.0,0.1   (0,0,16)   9.41e-58  9.99e-58  9.41e-58  2.00e+00  2.00e+00  3   1.41e-17  3.00e-17  1.41e-17

worst over the table: volume form vs face pairs 1.05e-49;  farTensor vs reference 4.40e-15 (max norm), 4.40e-15 (per entry)
