(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c32 = (0.03125, 0.03125, 0.03125), f = 1.0 + 0.1im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    8.68e-14   2    34.2     22  2.80e-13  6.36e-13  22  2.05e-02  pairs
axis  3    7    6.65e-15   5    75.4     22  6.24e-14  1.56e-13  22  6.62e-03  pairs
axis  4    7    5.32e-15   9    126.0    22  5.84e-14  1.52e-13  33  3.02e-03  pairs
axis  6    6    5.05e-15   16   196.0    22  6.46e-14  1.42e-13  22  1.05e-03  pairs
axis  8    5    5.56e-15   2    211.0    22  1.28e-13  2.06e-13  22  5.12e-04  pairs
axis  16   5    1.65e-15   2    300.0    11  7.22e-14  1.05e-13  11  1.38e-04  pairs
axis  32   4    2.34e-15   16   631.0    11  3.86e-14  7.02e-14  11  5.12e-05  pairs
axis  64   4    2.31e-15   33   1280.0   11  1.39e-13  8.73e-13  11  1.37e-05  pairs
face  2    9    8.62e-15   5    88.1     11  7.49e-14  1.67e-13  22  5.50e-03  pairs
face  3    7    4.37e-15   27   151.0    11  1.02e-13  1.79e-13  33  1.74e-03  pairs
face  4    7    4.57e-15   21   206.0    11  3.48e-13  5.30e-13  33  8.07e-04  pairs
face  6    6    4.80e-15   7    283.0    11  1.08e-13  1.08e-13  21  3.05e-04  pairs
face  8    5    2.18e-15   1    329.0    11  1.72e-13  1.72e-13  33  2.11e-04  pairs
face  16   5    2.11e-15   5    391.0    11  8.59e-14  1.62e-13  22  8.67e-05  pairs
face  32   4    1.53e-15   30   408.0    11  8.80e-14  1.76e-13  11  2.79e-05  pairs
face  64   4    1.37e-15   17   412.0    11  1.09e-13  2.18e-13  11  5.74e-06  pairs
body  2    9    3.96e-15   10   308.0    11  1.45e-13  5.42e-13  11  2.05e-03  pairs
body  3    7    3.51e-15   11   308.0    11  2.25e-13  4.27e-13  11  6.71e-04  pairs
body  4    7    3.50e-15   9    309.0    11  2.02e-13  2.02e-13  13  3.24e-04  pairs
body  6    6    4.04e-15   3    309.0    11  1.85e-13  2.23e-13  13  1.60e-04  pairs
body  8    5    2.01e-15   2    309.0    11  7.24e-14  1.06e-13  13  1.12e-04  pairs
body  16   5    1.99e-15   2    309.0    11  1.42e-13  2.55e-13  31  4.27e-05  pairs
body  32   4    1.08e-15   9    309.0    11  3.93e-14  7.55e-14  21  1.24e-05  pairs
body  64   4    1.38e-15   14   309.0    11  5.25e-14  9.29e-14  12  2.09e-06  pairs
