(c) Gila's egoSrfFxd! + srfSum! against the 220-bit reference, shape c32 = (0.03125, 0.03125, 0.03125), f = 1.0 + 0.0im
    ord = quadOrd(sep, 2 pi |f| max s); pairErr = worst of the 36 face pairs;
    amp = max_ab (sum of |srfMat_ref| over the pairs summed into ab)/|G_ref[ab]|;
    tMx = max_ab |G_gila - G_ref| / max|G_ref|; tEn = worst per entry.
    A row with no cached 36-pair reference falls back to the cached tensor
    (refquad.jl's graded volume rule): pairErr/fp/amp are then blank and only
    the assembled tMx/tEn columns are meaningful.  A row with neither prints
    "no cached reference"; build it with refPairs(D, s, f) of ref.jl.

dir   sep  ord  pairErr    fp   amp      ab  tMx       tEn       ab  max|G_ref|src
axis  2    9    8.92e-14   2    36.1     22  3.16e-13  7.30e-13  22  2.08e-02  pairs
axis  3    7    6.43e-15   26   83.3     22  6.07e-14  1.03e-13  22  6.79e-03  pairs
axis  4    7    3.97e-15   1    148.0    22  6.97e-14  2.03e-13  22  3.15e-03  pairs
axis  6    6    5.13e-15   1    233.0    22  1.11e-13  2.76e-13  22  1.13e-03  pairs
axis  8    5    4.90e-15   2    239.0    22  1.22e-13  2.11e-13  22  5.77e-04  pairs
axis  16   5    2.29e-15   7    310.0    11  1.60e-13  1.63e-13  11  1.82e-04  pairs
axis  32   4    2.09e-15   17   644.0    11  5.06e-14  5.31e-14  11  9.44e-05  pairs
axis  64   4    1.68e-15   34   1300.0   11  5.01e-14  1.48e-13  11  4.76e-05  pairs
face  2    9    5.88e-15   12   89.8     11  7.32e-14  1.31e-13  33  5.56e-03  pairs
face  3    7    4.49e-15   8    163.0    33  1.27e-13  2.44e-13  33  1.77e-03  pairs
face  4    7    4.77e-15   7    227.0    33  1.09e-13  1.82e-13  33  8.26e-04  pairs
face  6    6    5.89e-15   14   279.0    11  3.00e-13  3.63e-13  11  3.25e-04  pairs
face  8    5    1.74e-15   2    323.0    11  6.32e-14  6.68e-14  12  2.48e-04  pairs
face  16   5    2.69e-15   10   387.0    11  1.48e-13  2.09e-13  12  1.32e-04  pairs
face  32   4    1.30e-15   29   408.0    11  7.53e-14  9.94e-14  11  6.72e-05  pairs
face  64   4    1.98e-15   16   413.0    11  1.95e-13  3.05e-13  11  3.37e-05  pairs
body  2    9    6.32e-15   32   311.0    11  1.80e-13  6.35e-13  11  2.08e-03  pairs
body  3    7    3.70e-15   1    312.0    11  4.50e-13  7.85e-13  11  6.85e-04  pairs
body  4    7    3.07e-15   6    312.0    11  4.73e-13  5.42e-13  11  3.37e-04  pairs
body  6    6    3.14e-15   20   312.0    11  1.65e-13  1.76e-13  21  1.96e-04  pairs
body  8    5    2.58e-15   19   312.0    11  1.95e-13  3.11e-13  13  1.47e-04  pairs
body  16   5    1.27e-15   4    312.0    11  7.60e-14  1.29e-13  13  7.36e-05  pairs
body  32   4    1.30e-15   1    312.0    11  6.05e-14  8.62e-14  21  3.68e-05  pairs
body  64   4    1.12e-15   16   312.0    11  1.03e-13  1.06e-13  21  1.84e-05  pairs
