(e) Float64 digits lost by the expansion itself: the same route and the same L
    evaluated in Float64 and in BigFloat(192), so truncation cancels exactly.
    digits = log10( max_ab|G64 - GB| / (eps(Float64) max_ab|GB|) ).

shp  f           D           rho     kR       rt  L    rel err   digits lost
c32  1.0 + 0.0im (2,0,0)     0.866   0.393    2   50   4.25e-15  1.28
c32  1.0 + 0.0im (3,0,0)     0.5774  0.589    1   44   3.78e-16  0.23
c32  1.0 + 0.0im (4,0,0)     0.433   0.785    1   32   3.98e-16  0.25
c32  1.0 + 0.0im (6,0,0)     0.2887  1.178    1   22   2.49e-16  0.05
c32  1.0 + 0.0im (8,0,0)     0.2165  1.571    1   18   3.06e-16  0.14
c32  1.0 + 0.0im (16,0,0)    0.1083  3.142    1   14   4.05e-16  0.26
c32  1.0 + 0.0im (32,0,0)    0.0541  6.283    1   12   2.35e-16  0.02
c32  1.0 + 0.0im (64,0,0)    0.0271  12.566   1   10   1.01e-15  0.66
c32  1.0 + 0.0im (2,2,0)     0.6124  0.555    1   48   7.43e-16  0.52
c32  1.0 + 0.0im (3,3,0)     0.4082  0.833    1   30   1.35e-15  0.78
c32  1.0 + 0.0im (4,4,0)     0.3062  1.111    1   24   4.69e-16  0.33
c32  1.0 + 0.0im (6,6,0)     0.2041  1.666    1   18   3.73e-16  0.22
c32  1.0 + 0.0im (8,8,0)     0.1531  2.221    1   16   1.47e-16  -0.18
c32  1.0 + 0.0im (16,16,0)   0.0765  4.443    1   12   3.03e-16  0.14
c32  1.0 + 0.0im (32,32,0)   0.0383  8.886    1   10   3.48e-16  0.19
c32  1.0 + 0.0im (64,64,0)   0.0191  17.772   1   10   3.54e-16  0.2
c32  1.0 + 0.0im (2,2,2)     0.5     0.68     1   36   2.08e-15  0.97
c32  1.0 + 0.0im (3,3,3)     0.3333  1.02     1   24   3.26e-16  0.17
c32  1.0 + 0.0im (4,4,4)     0.25    1.36     1   20   4.86e-16  0.34
c32  1.0 + 0.0im (6,6,6)     0.1667  2.041    1   16   2.62e-16  0.07
c32  1.0 + 0.0im (8,8,8)     0.125   2.721    1   14   4.79e-16  0.33
c32  1.0 + 0.0im (16,16,16)  0.0625  5.441    1   12   7.58e-16  0.53
c32  1.0 + 0.0im (32,32,32)  0.0312  10.883   1   10   3.19e-16  0.16
c32  1.0 + 0.0im (64,64,64)  0.0156  21.766   1   10   1.75e-15  0.9
c32  1.0 + 0.1im (2,0,0)     0.866   0.395    2   50   8.50e-16  0.58
c32  1.0 + 0.1im (3,0,0)     0.5774  0.592    1   44   3.35e-16  0.18
c32  1.0 + 0.1im (4,0,0)     0.433   0.789    1   32   1.22e-15  0.74
c32  1.0 + 0.1im (6,0,0)     0.2887  1.184    1   22   4.54e-16  0.31
c32  1.0 + 0.1im (8,0,0)     0.2165  1.579    1   18   4.51e-16  0.31
c32  1.0 + 0.1im (16,0,0)    0.1083  3.157    1   14   4.31e-16  0.29
c32  1.0 + 0.1im (32,0,0)    0.0541  6.315    1   12   2.66e-16  0.08
c32  1.0 + 0.1im (64,0,0)    0.0271  12.629   1   10   2.95e-16  0.12
c32  1.0 + 0.1im (2,2,0)     0.6124  0.558    1   48   8.54e-16  0.58
c32  1.0 + 0.1im (3,3,0)     0.4082  0.837    1   30   8.51e-16  0.58
c32  1.0 + 0.1im (4,4,0)     0.3062  1.116    1   24   1.99e-16  -0.05
c32  1.0 + 0.1im (6,6,0)     0.2041  1.674    1   18   8.06e-16  0.56
c32  1.0 + 0.1im (8,8,0)     0.1531  2.233    1   16   1.85e-16  -0.08
c32  1.0 + 0.1im (16,16,0)   0.0765  4.465    1   12   5.17e-16  0.37
c32  1.0 + 0.1im (32,32,0)   0.0383  8.93     1   10   2.70e-16  0.09
c32  1.0 + 0.1im (64,64,0)   0.0191  17.86    1   10   1.43e-16  -0.19
c32  1.0 + 0.1im (2,2,2)     0.5     0.684    1   36   1.04e-15  0.67
c32  1.0 + 0.1im (3,3,3)     0.3333  1.025    1   24   3.48e-16  0.19
c32  1.0 + 0.1im (4,4,4)     0.25    1.367    1   20   5.43e-16  0.39
c32  1.0 + 0.1im (6,6,6)     0.1667  2.051    1   16   5.39e-16  0.39
c32  1.0 + 0.1im (8,8,8)     0.125   2.734    1   14   2.91e-16  0.12
c32  1.0 + 0.1im (16,16,16)  0.0625  5.469    1   12   3.87e-16  0.24
c32  1.0 + 0.1im (32,32,32)  0.0312  10.937   1   10   4.78e-16  0.33
c32  1.0 + 0.1im (64,64,64)  0.0156  21.874   1   10   2.46e-16  0.05
c4   1.0 + 0.0im (2,0,0)     0.866   3.142    2   51   4.61e-16  0.32
c4   1.0 + 0.0im (3,0,0)     0.5774  4.712    1   48   3.71e-16  0.22
c4   1.0 + 0.0im (4,0,0)     0.433   6.283    1   34   3.82e-16  0.24
c4   1.0 + 0.0im (6,0,0)     0.2887  9.425    1   26   4.52e-16  0.31
c4   1.0 + 0.0im (8,0,0)     0.2165  12.566   1   22   9.56e-16  0.63
c4   1.0 + 0.0im (16,0,0)    0.1083  25.133   1   18   8.22e-16  0.57
c4   1.0 + 0.0im (32,0,0)    0.0541  50.265   1   18   2.72e-15  1.09
c4   1.0 + 0.0im (64,0,0)    0.0271  100.531  1   16   8.59e-15  1.59
c4   1.0 + 0.0im (2,2,0)     0.6124  4.443    1   52   2.36e-16  0.03
c4   1.0 + 0.0im (3,3,0)     0.4082  6.664    1   32   8.14e-16  0.56
c4   1.0 + 0.0im (4,4,0)     0.3062  8.886    1   26   4.92e-16  0.35
c4   1.0 + 0.0im (6,6,0)     0.2041  13.329   1   22   7.00e-16  0.5
c4   1.0 + 0.0im (8,8,0)     0.1531  17.772   1   20   3.06e-16  0.14
c4   1.0 + 0.0im (16,16,0)   0.0765  35.543   1   18   1.83e-16  -0.08
c4   1.0 + 0.0im (32,32,0)   0.0383  71.086   1   18   4.90e-16  0.34
c4   1.0 + 0.0im (64,64,0)   0.0191  142.172  1   16   2.23e-16  0.0
c4   1.0 + 0.0im (2,2,2)     0.5     5.441    1   40   1.13e-15  0.71
c4   1.0 + 0.0im (3,3,3)     0.3333  8.162    1   28   5.05e-16  0.36
c4   1.0 + 0.0im (4,4,4)     0.25    10.883   1   24   3.44e-16  0.19
c4   1.0 + 0.0im (6,6,6)     0.1667  16.324   1   20   5.06e-16  0.36
c4   1.0 + 0.0im (8,8,8)     0.125   21.766   1   20   2.20e-15  1.0
c4   1.0 + 0.0im (16,16,16)  0.0625  43.531   1   18   4.66e-15  1.32
c4   1.0 + 0.0im (32,32,32)  0.0312  87.062   1   16   3.45e-16  0.19
c4   1.0 + 0.0im (64,64,64)  0.0156  174.125  1   16   4.38e-16  0.3
sl   1.0 + 0.0im (2,0,0)     0.7078  0.393    2   44   1.17e-15  0.72
sl   1.0 + 0.0im (3,0,0)     0.4719  0.589    1   38   5.13e-16  0.36
sl   1.0 + 0.0im (4,0,0)     0.3539  0.785    1   30   1.78e-15  0.9
sl   1.0 + 0.0im (6,0,0)     0.2359  1.178    1   22   4.94e-16  0.35
sl   1.0 + 0.0im (8,0,0)     0.1769  1.571    1   18   2.57e-16  0.06
sl   1.0 + 0.0im (16,0,0)    0.0885  3.142    1   14   2.51e-16  0.05
sl   1.0 + 0.0im (32,0,0)    0.0442  6.283    1   12   1.51e-16  -0.17
sl   1.0 + 0.0im (64,0,0)    0.0221  12.566   1   10   9.65e-16  0.64
sl   1.0 + 0.0im (0,2,0)     0.7078  0.393    2   44   1.31e-15  0.77
sl   1.0 + 0.0im (0,3,0)     0.4719  0.589    1   38   5.13e-16  0.36
sl   1.0 + 0.0im (0,4,0)     0.3539  0.785    1   30   1.78e-15  0.9
sl   1.0 + 0.0im (0,6,0)     0.2359  1.178    1   22   4.94e-16  0.35
sl   1.0 + 0.0im (0,8,0)     0.1769  1.571    1   18   2.57e-16  0.06
sl   1.0 + 0.0im (0,16,0)    0.0885  3.142    1   14   2.51e-16  0.05
sl   1.0 + 0.0im (0,32,0)    0.0442  6.283    1   12   1.51e-16  -0.17
sl   1.0 + 0.0im (0,64,0)    0.0221  12.566   1   10   9.65e-16  0.64
sl   1.0 + 0.0im (0,0,32)    0.7078  0.393    2   32   1.07e-15  0.68
sl   1.0 + 0.0im (0,0,64)    0.3539  0.785    1   30   1.96e-16  -0.05

worst digits lost: 1.59 at c4 1.0 + 0.0im (64,0,0)
