(e) L(1e-13) from the proven tail bound, per shape, separation and direction.
    Lwb = smallest even L <= 56 whose whole-box tail is below tol*est(R);
    Loct = largest of the 8 sub-box L_j for the octant split (budget tol*est/8);
    -1 = the bound is not met at L <= 56.  cost = complex multiply-adds issued.

shp  f           dir   sep  rho     kR       Lwb  cost    Loct costOct  route
c32  1.0 + 0.0im axis  2    0.866   0.393    -1   -1      50   98028    2
c32  1.0 + 0.0im axis  3    0.5774  0.589    44   3491    30   43036    1
c32  1.0 + 0.0im axis  4    0.433   0.785    32   1892    24   29848    1
c32  1.0 + 0.0im axis  6    0.2887  1.178    22   931     19   20272    1
c32  1.0 + 0.0im axis  8    0.2165  1.571    18   641     16   16184    1
c32  1.0 + 0.0im axis  16   0.1083  3.142    14   405     13   10976    1
c32  1.0 + 0.0im axis  32   0.0541  6.283    12   307     11   8064     1
c32  1.0 + 0.0im axis  64   0.0271  12.566   10   223     10   6776     1
c32  1.0 + 0.0im face  2    0.6124  0.555    48   4132    36   49182    1
c32  1.0 + 0.0im face  3    0.4082  0.833    30   1673    24   27902    1
c32  1.0 + 0.0im face  4    0.3062  1.111    24   1096    20   20818    1
c32  1.0 + 0.0im face  6    0.2041  1.666    18   641     16   15722    1
c32  1.0 + 0.0im face  8    0.1531  2.221    16   516     14   12600    1
c32  1.0 + 0.0im face  16   0.0765  4.443    12   307     12   9464     1
c32  1.0 + 0.0im face  32   0.0383  8.886    10   223     11   8064     1
c32  1.0 + 0.0im face  64   0.0191  17.772   10   223     10   6776     1
c32  1.0 + 0.0im body  2    0.5     0.68     36   2371    31   36848    1
c32  1.0 + 0.0im body  3    0.3333  1.02     24   1096    21   23576    1
c32  1.0 + 0.0im body  4    0.25    1.36     20   779     18   18158    1
c32  1.0 + 0.0im body  6    0.1667  2.041    16   516     15   13468    1
c32  1.0 + 0.0im body  8    0.125   2.721    14   405     14   11179    1
c32  1.0 + 0.0im body  16   0.0625  5.441    12   307     11   8064     1
c32  1.0 + 0.0im body  32   0.0312  10.883   10   223     10   6776     1
c32  1.0 + 0.0im body  64   0.0156  21.766   10   223     10   6776     1
c32  1.0 + 0.1im axis  2    0.866   0.395    -1   -1      50   98028    2
c32  1.0 + 0.1im axis  3    0.5774  0.592    44   3491    30   43036    1
c32  1.0 + 0.1im axis  4    0.433   0.789    32   1892    24   29848    1
c32  1.0 + 0.1im axis  6    0.2887  1.184    22   931     19   20272    1
c32  1.0 + 0.1im axis  8    0.2165  1.579    18   641     16   16184    1
c32  1.0 + 0.1im axis  16   0.1083  3.157    14   405     13   10976    1
c32  1.0 + 0.1im axis  32   0.0541  6.315    12   307     11   8064     1
c32  1.0 + 0.1im axis  64   0.0271  12.629   10   223     10   6776     1
c32  1.0 + 0.1im face  2    0.6124  0.558    48   4132    36   49182    1
c32  1.0 + 0.1im face  3    0.4082  0.837    30   1673    24   27902    1
c32  1.0 + 0.1im face  4    0.3062  1.116    24   1096    20   20818    1
