(e) Float64 cost of pairMoments(A, B, 12) for one face pair, per sub-code
    shapes: cube (1,1,1) and the slender (1/32,1/32,1/512)

code    cube us     slender us  boxes
S       244.8       391.6       4
Ef      502.6       515.1       4
Ec      83.6        96.8        2
Vc      832.5       628.3       4
Vp      131.4       119.5       2
P1      942.1       213.8       4
P2      441.1       219.1       4
P1s     696.6       678.7       4
P1s-b   639.2       599.3       4
P2s     441.2       669.6       4
P2s-b   481.7       590.3       4
Xg      175.9       179.7       2
Xg-b    243.2       242.4       2
Xg-c    377.9       380.0       2
Xg-d    516.8       700.0       2
